iter	Passed	Remaining
0	0	423
1	0	374
2	1	356
3	1	340
4	1	349
5	2	358
6	2	355
7	2	348
8	3	340
9	3	338
10	3	335
11	4	329
12	4	330
13	4	339
14	5	345
15	5	348
16	5	343
17	6	338
18	6	334
19	6	332
20	7	332
21	7	339
22	8	343
23	8	341
24	8	340
25	9	337
26	9	335
27	9	332
28	9	330
29	10	327
30	10	324
31	10	326
32	11	323
33	11	322
34	11	320
35	11	318
36	12	317
37	12	316
38	12	315
39	13	314
40	13	314
41	13	316
42	14	318
43	14	318
44	14	317
45	15	316
46	15	315
47	15	314
48	16	313
49	16	311
50	16	310
51	16	309
52	17	308
53	17	307
54	17	306
55	18	308
56	18	310
57	19	311
58	19	311
59	19	310
60	20	310
61	20	311
62	20	310
63	21	310
64	21	309
65	21	308
66	22	308
67	22	308
68	22	307
69	23	309
70	23	310
71	24	310
72	24	309
73	24	309
74	25	308
75	25	307
76	25	306
77	25	305
78	26	304
79	26	303
80	26	302
81	26	302
82	27	299
83	27	298
84	27	298
85	28	297
86	28	297
87	28	296
88	28	295
89	29	294
90	29	293
91	29	293
92	29	292
93	30	291
94	30	290
95	30	290
96	31	290
97	31	291
98	32	292
99	32	292
100	32	291
101	33	290
102	33	291
103	33	292
104	34	291
105	34	291
106	34	290
107	35	289
108	35	289
109	35	289
110	36	288
111	36	288
112	36	289
113	37	288
114	37	288
115	37	289
116	38	287
117	38	287
118	38	286
119	39	286
120	39	285
121	39	284
122	39	283
123	40	283
124	40	282
125	40	282
126	40	280
127	41	280
128	41	280
129	41	279
130	42	279
131	42	278
132	42	278
133	42	277
134	43	277
135	43	276
136	43	276
137	44	275
138	44	274
139	44	274
140	44	273
141	45	272
142	45	271
143	45	271
144	45	271
145	46	270
146	46	270
147	46	269
148	47	269
149	47	269
150	47	269
151	48	268
152	48	268
153	48	267
154	49	267
155	49	266
156	49	266
157	50	266
158	50	266
159	50	266
160	50	264
161	51	264
162	51	264
163	51	264
164	52	264
165	52	264
